¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Changing Bag,Una bolsa negra de doble cámara utilizada para cargar película en magazines.
Character,"El individuo ficticio o real en una historia, interpretado por un actor, también llamado intérprete."
Character Actor,"Un actor que se especializa en interpretar roles ficticios bien definidos, estereotipados, arquetípicos, extravagantes, humorísticos o altamente reconocibles, de un tipo físico, emocional o comportamental particular, en un papel de apoyo."
Character Color Coding,"Se refiere a la identificación de un personaje o persona de una película con un color particular, los cambios de color a menudo representan transformaciones, cambios, fusiones o cambios en la persona."
Character Study,"Una película que utiliza fuertes caracterizaciones, interacciones y personalidades de sus personajes para contar una historia, con trama y narrativa casi secundarias para ellos."
Cheat,"Cuando la cámara se configura para una segunda toma desde un ángulo diferente, es posible mover las cosas un poco para mejorar la nueva composición."
Cheater Cut,La película introductoria colocada al principio de un episodio de una serie para mostrar lo que sucedió al final del episodio anterior.
Check Print,Una impresión hecha para verificar la calidad y el éxito de un efecto.
Chemistry (o Screen Chemistry),"Refiriéndose a las actuaciones entre actores que son inusualmente adecuadas y perfectamente complementarias entre sí, las actuaciones que carecen de química en pantalla a veces pueden ser desastrosas para una película."
Chiaroscuro,"Literalmente, la combinación de las dos palabras italianas para ""claro/brillante"" y ""oscuro"", se refiere a un uso notable y contrastante de la luz y la sombra en las escenas."
Chick Flicks',"Se refiere a las películas populares entre las mujeres, pero también se usa en un sentido despectivo para marginar películas con una emoción pesada, cursi y numerosos personajes femeninos."
Child Actor,"Técnicamente, cualquier actor menor de 18 años."
Chopsocky,Argot para una película de artes marciales.
Choreographer (y Choreography),"Una persona que planifica, diseña, organiza, secuencia y dirige bailes, peleas u otras acciones físicas o movimientos en una producción cinematográfica o teatral."
Cinch Marks,Pequeños arañazos verticales en un rollo de película que se producen cuando el extremo de la película se tira para tensar el rollo.
Cineaste,"Se refiere a un entusiasta o devoto del cine, también se utiliza en el nombre de una de las principales revistas de cine."
Cinema Verité,"Un método o estilo de realización de documentales con tomas largas, sin narración y con poco o ningún control de dirección o edición sobre el producto terminado."
Cinemascope,"Un término que comúnmente se refiere a procesos de pantalla ancha o técnicas anamórficas, que usan diferentes magnificaciones en el horizontal y el vertical para llenar la pantalla."
Cinematic,"Relativo o sugestivo de películas, que tiene las cualidades de una película."
Cinematography (también Director de Fotografía),"Se refiere específicamente al arte y la técnica de la fotografía cinematográfica, la captura de imágenes y efectos de iluminación, o a la persona experta en y responsable de capturar o grabar-fotografiar imágenes para una película."
Cinerama,"Un proceso de filmación de pantalla ancha que primero utilizaba tres cámaras y tres proyectores para lograr una vista envolvente del tema, y se proyectaba en una pantalla curva de unos 160 grados."
Cinta De Gaffer,Una cinta de tela específicamente para uso en rodajes de películas.
Cinta De Papel,Un rollo delgado de cinta utilizado para sujetar los extremos de la película durante la edición.
Clamp Light,Un tipo de accesorio de iluminación diseñado para sostener una bombilla de rosca.
Clap Board,"Una pequeña pizarra negra o blanca con un palo articulado en la parte superior que muestra información de identificación para cada toma en una película, y se filma al principio de una toma."
Clapper,Los dos palos que se golpean entre sí para marcar una toma de sonido sincronizada.
Claymation,"Se refiere a la animación de modelos construidos de arcilla, masilla, plasticina u otros materiales moldeables, a menudo a través de la técnica de stop-motion."
Click,Argot que denota una película exitosa.
Cliffhanger,"Una película caracterizada por escenas de gran tensión, peligro, aventura, suspense o alto drama."
Climax,"El punto más alto de ansiedad o tensión en una historia o película en el que el personaje central/protagonista enfrenta, confronta y lidia con las consecuencias de todas sus acciones, o enfrenta al antagonista en una batalla climática o enfrentamiento final."
Clip,Ver clip de película.
Close-up (primer plano),"Una toma tomada desde una distancia corta en la que la escala del objeto se magnifica, aparece relativamente grande y llena todo el cuadro para enfocar la atención y enfatizar su importancia."
Co-axial Magazine,Un tipo de magazine con dos cámaras uno al lado del otro.
Coda,"Se refiere al epílogo, final o última sección de una película."
Code Numbers,"Números de borde tatuados, generalmente agregados a un workprint y una pista mag después de la sincronización."
Coin,Un término coloquial para dinero o financiamiento.
Color (película),Un fenómeno de luz o percepción visual que permite diferenciar objetos que de otro modo serían idénticos.
Color Temperature,Es una medida del color de la luz.
Colorization,El proceso de alteración de una película en blanco y negro para incluir color digitalmente.
Comedian (comedianta),Un actor que se especializa en películas de género destinadas a sacar risas de la audiencia.
Comedy (comedia),Una película que provoca risa o humor al celebrar o mostrar las ironías eternas de la existencia humana.
Comic Relief,"Un interludio humorístico o farsesco en una película dramática, generalmente proporcionado por un personaje bufonesco, destinado a aliviar la tensión dramática acumulada o a aumentar el impacto emocional por medio del contraste."
Coming-of-age (película),"Una película asociada con difíciles ritos de pasaje adolescentes, el inicio de la pubertad, la pérdida de la inocencia y los sueños infantiles, la experiencia de crecer, alcanzar la identidad sexual, etc."
Command Performance,"Una gran actuación en una película por parte de un actor, a veces refiriéndose a la actuación antes de su muerte."
Compilation Film,"Una película compuesta de tomas, escenas o secuencias de otras películas."
Complication,Un evento en la trama que complica o aumenta la tensión de una película.
Composer,El músico que crea (escribe o adapta) la partitura musical de la película.
Composition,Se refiere a la disposición de diferentes elementos dentro de un fotograma y en una escena.
Computer Generated Imagery (CGI),Ver cgi más arriba.
Concentrador De Bobinado Ajustado,Un accesorio que sostiene un núcleo en el eje de un rebobinado ajustado.
Concert Film,Una película que graba la actuación en vivo de músicos o comediantes.
Conformaciones,Versiones progresivas de una película en la etapa de edición.
Conforming,Emparejar el original con el workprint por parte del cortador de negativos.
Contact Printing,Método utilizado por el laboratorio para copiar película.
Continuity,La continuidad de detalles de una toma a otra dentro de una escena.
Conventions,"Los elementos esperados en un tipo de película, sin cuestionarlos ni juzgarlos."
Coocoloris,Una forma elegante de decir gobo o cookie.
Coogan's Law,Legislación diseñada para proteger las ganancias de un actor infantil.
Copia,"Una copia de otra pieza de película, típicamente hecha por impresión de contacto."
Copia Cronometrada,Una copia en la que el temporizador ha pasado y cronometrado cada toma.
Copia De Bajo Contraste,"Una copia específicamente para transferir a video, que favorece menos contraste."
Copia De Trabajo,Una copia positiva del negativo original que se corta durante el proceso de edición.
Core,Un cubo de plástico utilizado para sostener la película sin un carrete.
Corrected Print,Una impresión con tiempo ajustado.
Corrections,Cambios adicionales en el tiempo de una impresión.
Cortador De Negativos,La persona que corta y ensambla el negativo original.
Corte Bloqueado,El corte final de una película cuando no habrá más cambios en la imagen.
Corte Cero,Un método de corte de negativos específicamente para ampliación.
Costume (or Wardrobe) And Costume Design,Se refiere a las prendas o ropa usada por los actores en una película.
Courtroom Drama,Un drama y/o misterio en el que el protagonista principal es un abogado.
Coverage,Desglose de un guión en las tomas que permitirán que la escena se corte.
Crane Shot,Una toma de cámara tomada desde un dispositivo mecánico que puede elevar la cámara en el aire por encima del suelo.
Crawl,Títulos o texto superpuestos destinados a moverse en la pantalla.
Credits,"El texto que aparece en pantalla que lista al personal técnico, elenco y equipo de producción de una película."
Crew,Aquellos involucrados en la producción técnica de una película que no son actores.
Crisis,El período de mayor tensión justo antes del clímax de una película.
Critic,Un individuo que escribe y/o publica una crítica de una película.
Critical End!,Etiqueta que se coloca en una cinta de película al finalizarla en el laboratorio cuando se agota durante una toma importante.
Cronometraje,Proceso del laboratorio para seleccionar luces de impresión adecuadas para la representación adecuada de la exposición y el color al hacer una copia.
Cross Modulation Test,Prueba realizada para asegurarse de que la pista óptica esté expuesta y desarrollada para una calidad de sonido óptima.
Cross Processing,Técnica de fotografía que implica el uso de película de inversión de color desarrollada como un negativo.
Cross-cutting,"Técnica de edición que alterna entre dos acciones narrativas diferentes, generalmente en diferentes ubicaciones."
Cross-fade,Técnica de fundido que ocurre en dos etapas: desvanecimiento a negro y luego desvanecimiento a la siguiente escena.
Cross-over (and cross-over Appeal),Una película o producción que puede atraer a un público diferente al previsto originalmente.
Crowd Shot,"Una toma de un gran grupo de personas, a menudo extras, en una película."
Crystal Sync,Método de grabación de sonido sincronizado utilizando un motor gobernado por cristal de cuarzo.
Cuarta Pared,"Representa la barrera imaginaria entre el mundo ficticio de la película y el mundo real del espectador. Se ""rompe"" cuando un personaje se dirige directamente al espectador."
Cue,"Señal o signo para que un actor comience a actuar, a menudo la última palabra de la línea de diálogo de otro personaje."
Cue Cards,"Dispositivo utilizado para ayudar a un actor a recitar sus líneas, a menudo impreso con diálogo."
Cue Sheets,Mapa utilizado por el mezclador de sonido para encontrar los sonidos en sus pistas durante la mezcla.
Cult Film(s),Película que atrae a un pequeño pero leal grupo de fanáticos y permanece popular durante muchos años.
Cut,"Separación de dos tomas en la línea de cuadro, o el punto donde las tomas han sido separadas."
Cutaway,"Una toma que se aleja de la acción en curso, a menudo utilizada para rescatar la continuidad o cobertura."
Cutaway Shot,"Una breve toma que interrumpe momentáneamente una acción en curso, seguida por un regreso a la toma original."
Cyberpunk,Subgénero de ciencia ficción que se centra en una sociedad digital o de tecnología de la información.
Cyclorama,"Fondo curvado, sin costuras, de piso a techo utilizado en sets de estudio."
Dailies,"Copias procesadas, cortes ásperos o primeras impresiones de una película para revisión."
Dark Horse,Película poco conocida o improbable que es nominada para un premio importante.
Day-for-night Shot,Técnica cinematográfica para hacer que las tomas diurnas parezcan nocturnas.
Daylight Balanced,Temperatura de color de la luz del día.
Daylight Spool,Carrete de aluminio que sostiene 100 pies de película y protege la película de la exposición a la luz del día.
Daylight Sync,Sincronización en cámaras de 16mm para trabajar con luces de película estándar.
De-racking,Sacar el estante de una revista.
Deadpan,Dispositivo cómico en el que el intérprete muestra una expresión facial inexpresiva.
Decoupage,Término francés que se refiere al diseño de una película.
Deep-focus shot,Estilo de cinematografía y puesta en escena con gran profundidad de campo.
Deleted Scene,Escena que fue eliminada del corte final de una película.
Denouement,Punto inmediatamente posterior al clímax cuando todo se resuelve.
Depth Of Field,Distancia entre el punto más cercano y el punto más lejano en el que los objetos están enfocados.
Depth Of Focus,Ajuste técnico para asegurar que una toma de cámara conserve su enfoque profundo en todos los planos.
Descartes,Metraje no utilizado en la versión editada de un workprint.
Deus Ex Machina,Resolución del argumento mediante la intervención improbable de un dispositivo o personaje.
Di-noc,Recubrimiento utilizado en la industria del cine y la televisión para imitar madera o metal.
Diafragma,Válvula dentro de una lente para controlar la cantidad de luz que pasa.
Dialogue,Líneas habladas por un actor basadas en un guion.
Diegetic (diegesis),Elementos narrativos de una película que aparecen en el contenido del marco de la película.
Differential Focus,Ajuste del enfoque para mantener una relación no uniforme entre partes del sujeto enfocado.
Diffusion,Filtro utilizado para crear un efecto de enfoque suave o lámina utilizada para suavizar sombras.
Digital Production,Filmación y postproducción utilizando métodos digitales.
Diopter,Parte del sistema de visión de una cámara que se puede ajustar para compensar la visión del operador.
Direct Sound,Técnica de grabación de sonido simultáneamente con la imagen.
Directing The Eye,Uso de luz y composición para enfatizar lo importante dentro del encuadre.
Director (and Directing),Artista creativo responsable del control artístico completo de todas las fases de producción de una película.
Director's Cut,"Versión de una película sin interferencia del estudio, como el director quisiera que se vea."
Discovery Shot,Momento en una escena en el que la cámara descubre un objeto o persona previamente no revelados al espectador.
Diseño De Producción,"Se refiere al diseño general de una película, continuidad, aspecto visual y composición (colores, sets, vestuario, escenografía, utilería, ubicaciones, etc.) Que son responsabilidad del diseñador de producción, el departamento de arte se refiere a las personas en diversos roles (por ejemplo, pintores de matte, diseñadores y decoradores de sets, ilustradores, diseñadores de títulos, artistas escénicos y artistas de storyboard) que trabajan bajo la supervisión del diseñador de producción, el director de arte es responsable de los ajustes físicos de la película (se refiere específicamente a los interiores, paisajes, edificios, etc.)."
Disney-fication (or disney-fied),Adaptación de una obra para hacerla más aceptable y popular para la audiencia masiva.
Dissolve (or Lap Dissolve),Transición entre dos tomas en la que una se desvanece mientras otra aparece.
Distancia Hiperfocal,Distancia en la lente que aprovecha al máximo la profundidad de campo presente.
Doblaje,Grabación de diálogos en un estudio de sonido después de la filmación.
Doble Exposición,Exposición de un fotograma dos veces para que elementos de ambas imágenes sean visibles en el producto final.
Documental,Película no ficcional que retrata la realidad.
Dogme 95,Grupo de directores de cine daneses que siguieron una filosofía cinematográfica específica.
Dolby Stereo,"Proceso de sonido estéreo para películas creado por dolby laboratories, inc."
Dolly (shot),Toma móvil en la que la cámara se mueve sobre rieles o plataforma para cambiar la perspectiva del sujeto y fondo.
Doppelganger,Doble o contraparte de un individuo.
Double,Persona que realiza acrobacias o sustituye temporalmente al actor principal en una escena peligrosa o difícil.
Double Exposure,Exponer un fotograma dos veces para mostrar elementos de ambas imágenes en el producto final.
Double Take,Convención cómica en la que un actor mira un objeto o situación dos veces con sorpresa o disgusto.
Drive-in,Cine al aire libre donde los espectadores ven una película desde sus automóviles.
Dub (or Dubbing),Añadir una nueva banda sonora a una película o añadir diálogo traducido a una película extranjera.
Dunning,Proceso de combinar tomas filmadas en un estudio con imágenes de fondo filmadas en otro lugar.
Dupe,Copia positiva o negativa de una impresión.
Dutch Tilt (or Canted Angle),Toma con la cámara inclinada hacia un lado y filmando en un ángulo diagonal.
Dynamic Frame,Técnica fotográfica para enmascarar el tamaño y la forma de la imagen proyectada.
Dystopia,"Lugar imaginario opresivo y deshumanizado, contrario a la utopía."
E.C.N.,"Eastman color negative, negativo de color de eastman."
E.D.L.,"Edit decision list, lista de decisiones de edición."
E.I.,Índice de exposición.
E.S.,Sincronización editorial.
Edición,Proceso de corte y disposición de tomas.
Edición Paralela,Técnica de alternar entre dos historias o escenas simultáneas.
Editing (editor),"Proceso de seleccionar, ensamblar, y estructurar tomas de una película."
El Cristal De Enfoque,Superficie plana de vidrio grabado en el sistema de visión de una cámara.
El Lente De Toma,Lente frente a la compuerta que produce la imagen en la película.
Ellipsis,Acortamiento de la duración de la trama de una película al omitir intervalos o secciones de la narrativa.
Emcee,Maestro de ceremonias.
Empalmador De Negativos,Persona que corta negativos.
Empalmadora Caliente,Empalmadora de cemento con calentador eléctrico.
Empalmadora Ultrasónica,Máquina costosa para empalmar película de poliéster.
Emulsión,Capa de plata en una película que crea la imagen.
End (or Closing) credits,Créditos finales de una película.
Enfant Terrible,Director joven y brillante pero egocéntrico.
Enfoque Seguimiento,Toma en la que el enfoque cambia mientras se filma.
Ensayos,Workprint sin editar después de regresar del laboratorio.
Ensemble (film),Película con un gran elenco sin roles principales verdaderos.
Entrelazado,Interconexión de dispositivos para funcionar en sincronía.
Envoltura,Anunciar el final de la filmación.
Epic,Película de gran escala o alcance dramático.
Epilogue,Escena final en una película donde los personajes reflexionan sobre los eventos anteriores.
Epiphany,Momento de súbita revelación espiritual para el protagonista de una película.
Episode,Segmento autocontenido de una película antológica o serie.
Episodic,Película compuesta de una serie de segmentos relacionados entre sí.
Espacio De Nariz,Espacio entre la cara de un sujeto y el borde del encuadre en un plano de perfil.
Espacio Sobre La Cabeza,Espacio entre la cabeza de un sujeto y la parte superior del encuadre.
Establishing Shot,Toma al inicio de una escena para mostrar el entorno y orientar al espectador.
Exec Or Exex,Abreviaturas de 'ejecutivo'.
Executive Producer,Persona responsable de supervisar la financiación o producción de una película.
Exhibitor,Dueño de un cine.
Experimental Film,Película desafiante que utiliza técnicas poco convencionales.
Exploitation Film,Película sensacionalista dirigida a un público específico.
Exposition,La transmisión de información de fondo importante para los eventos de una historia.
Expressionism (and Expressionist),Distorsión de la realidad para reflejar los sentimientos internos de los personajes o del cineasta.
Extra(s),"Persona que aparece en una película en un papel no específico, sin hablar."
Eyeline Match,Corte entre dos tomas que crea la ilusión de que el personaje mira un objeto.
F-stop,Escala de la apertura del iris en una lente.
F/x,Abreviatura de efectos especiales.
Fade,"Transición gradual entre tomas, oscureciendo o iluminando la imagen."
Farce,Comedia rápida y exagerada que satiriza situaciones improbables.
Fast Motion (or Accelerated Motion),Dispositivo de cámara para comprimir la realidad y resaltar una escena.
Fast-cutting,Técnica de edición con cortes consecutivos y breves.
Favor On,Destacar un sujeto o acción específica en una toma.
Feature (film),"Película de longitud completa, generalmente sobre un tema en particular."
Featurette,"Cortometraje de 20 a 45 minutos, a menudo un detrás de escenas."
feel Good Film (or Movie),"Usualmente una comedia o romance alegre y optimista que termina con una conclusión que agrada al público, a veces usado de manera despectiva, comparar con ""tearjerker""."
Festival,"Evento donde se pueden exhibir, premiar y negociar películas."
Fifteen Minutes Of Fame,"Momento de fama efímero, popularizado por andy warhol."
Film,Grabar una escena o la tira delgada de material usado para crear imágenes.
Film Aesthetics,Examen o estudio del cine como forma de arte.
Film Artifact,"Daño no deseado en la película, como polvo, arañazos, etc."
Film Clip,Sección corta de una película exhibida por separado.
Film D'art,Movimiento temprano en el cine francés para filmar producciones teatrales.
Film Form,Aspectos técnicos o logísticos que componen una película.
Film Gauge,Medida del ancho de una tira de película en una cámara.
Film Grain,Cantidad de material fotosensible en la película.
Film Noir,Género de películas en blanco y negro con atmósfera oscura y pesimista.
Film Review,Evaluación oral o escrita de la calidad de una película.
Film Stock,Tipo y medida de película usada en una cámara.
Film Within A Film,Una película dentro de otra película.
Film(ic) Codes (or Conventions),Elementos en una película que forman un 'lenguaje' entendido por el espectador.
Filmmaker(s),Persona(s) con un control significativo sobre la creación de una película.
Filmography,"Lista completa de películas de un actor, director o miembro del equipo."
Filter,"Un vidrio tenido o una pequeña hoja de plástico tenido colocada frente a la lente o detrás de la lente en un portafiltro, utilizado para cambiar la reproducción del color de toda la toma. Los filtros se utilizan para convertir películas equilibradas para tungsteno para su uso en luz diurna o viceversa. También se pueden usar por razones estéticas, como un filtro rojo para oscurecer el cielo al filmar en blanco y negro."
Final Cut,Última versión editada de una película antes de su lanzamiento.
Fish-eye (lens),Lente super gran angular que exagera y distorsiona las dimensiones lineales de la imagen.
Fish-out-of-water' Tale,Historia en la que el personaje principal enfrenta un choque cultural al estar en un entorno o situación nueva o desconocida.
Flare De Lente,"Fenómeno causado por la luz que golpea el objetivo de la cámara, resultando en una imagen empañada o con polígonos."
"Flash Frame (or Shot, Or Cut)","Toma rápida o breve, a veces de un solo fotograma, insertada entre otras dos tomas para producir un efecto dramático repentino."
Flash In The Pan,Éxito o reconocimiento transitorio o efímero.
Flash-forward (or Flash-ahead),"Técnica cinematográfica que muestra una escena, evento o toma que tiene lugar en el futuro."
Flashback,Técnica cinematográfica que muestra un evento anterior al marco temporal presente de la película.
Flat,"Sección de un set de estudio, generalmente de madera y cubierta con materiales como plywood o tela."
Flex-fill,Cartón redondo montado en un anillo flexible que se puede plegar.
Flick,"Término genérico para referirse a las películas, a menudo usado de manera condescendiente."
Flicker,"Efecto de parpadeo o fluctuación percibido por el espectador, a menudo causado por una película mal fotografiada o proyectada."
Flood,Lámpara que proporciona iluminación general y difusa en un set de estudio.
Flop,Película que es un fracaso en taquilla.
Focus,Grado de nitidez o claridad de una imagen.
Foil,Personaje usado para comparar o contrastar con el protagonista y resaltar un rasgo de carácter.
Foley,Grabación de efectos de sonido personalizados durante la post-producción.
Foley Artist,Persona que crea o añade efectos de sonido en la post-producción de una película.
Follow (or Following Shot),Toma que sigue a un sujeto en movimiento.
Follow-up,Obra cinematográfica que viene después de otra.
Footage,"Longitud o secuencia de una película, medida en pies."
for Your Consideration,"Frase frecuentemente utilizada en anuncios comerciales especiales (en publicaciones como variety) pagados por estudios para promover películas ""dignas de un oscar"" (y sus actores) y crear expectativas de nominaciones al premio de la academia, especialmente para películas en el límite y/o esfuerzos independientes menos conocidos y artistas menos conocidos que probablemente serían pasados por alto sin la publicidad adicional, también conocido como fyc."
Foreground (abbreviated As F.g.),Objetos o acciones más cercanas a la cámara.
Foreign Film,Película producida fuera de estados unidos con diálogo predominantemente no inglés.
Foreshadow-ing,Indicios dentro de una película sobre el desarrollo futuro de la trama.
Format,Tamaño o relación de aspecto de un fotograma de película.
Fotograma,Imagen individual en una película.
Fotograma De Flash,Fotograma de una sola imagen clara entre dos tomas.
Frame,Imagen individual capturada por la cámara en una película.
Frame Rate,Tasa a la que pasa la película frente al obturador de la cámara durante la filmación.
Framing,Manera en que se compone una toma y se rodean los sujetos u objetos dentro de la imagen.
Freeze (or Freeze-frame),"Efecto de impresión óptica en el que una imagen de un solo fotograma se repite sobre varios fotogramas, creando la ilusión de una fotografía fija."
Front Projection,"Proceso cinematográfico en el que los actores y objetos del primer plano se filman frente a una pantalla de proyección, con un fondo previamente filmado proyectado sobre ella."
Fuga De Luz,"Luz que penetra en la cámara, causando manchas de niebla en la película."
Fyc,Abreviatura de 'for your consideration'.
Gaffer,Electricista jefe o técnico de iluminación supervisor en el equipo de filmación de una película.
Garra De Tirón,Movimiento de la cámara que avanza la película desde un fotograma expuesto hasta el siguiente fotograma no expuesto.
Gate,"En la cámara, impresora o proyector, es la abertura donde la película es expuesta."
Gel,Hoja de plástico transparente y coloreada utilizada como filtro para la luz de la película.
Gender Twist,"Interpretación de un papel tradicionalmente interpretado por un género, realizado por un miembro del sexo opuesto."
Gender-bending Role,Papel de travestismo en el que un hombre o una mujer interpreta a un personaje del sexo opuesto.
General Release,Estreno masivo de una película.
Generation,Número de veces que se ha copiado una cinta de video.
Genre,"Clase o tipo de película que comparte elementos comunes, como contenido narrativo, trama, entorno o personajes."
Gobo,Nombre alternativo para una galleta.
Gothic,Estilo literario o cinematográfico caracterizado por influencias oscuras y lúgubres.
Grand Guignol,Referencia a un famoso teatro parisino que se especializaba en melodramas horripilantes.
Grasa De Nariz,Utilizada para lubricar la placa de presión de una cámara.
Greenlight (o Greenlighting),Término que indica la aprobación para que se realice una película.
Grindhouse Film,"Película de bajo presupuesto, a menudo de contenido rudo o marginal, que se proyectaba en cines de baja categoría."
Grip,"Miembro del equipo responsable de configurar las vías de la grúa y los raíles de la cámara, entre otras tareas relacionadas con la producción."
Gross,"Total recaudado por una película en taquilla durante su lanzamiento, excluyendo los ingresos por alquileres o ventas."
Grotesque,Personaje de una película con características exageradas o deformes.
Guerrilla Film,"Película de bajo presupuesto, generalmente filmada sin permisos de ubicación y con actores no sindicalizados."
Guillotina,Dispositivo utilizado para unir cintas de película sin perforarlas.
Guilty Pleasure' Films,"Películas que, a pesar de sus defectos, son disfrutadas por el público."
Halación,Efecto en el que las áreas brillantes de una imagen parecen sangrar alrededor de las áreas oscuras.
Halógeno,"Gas contenido en la lámpara de una luz de cuarzo, que prolonga la vida del filamento de tungsteno."
Handheld Shot,Toma realizada con una cámara sostenida a mano o deliberadamente inestable.
Hays Code,Restricciones de censura impuestas a las películas por el código de producción de cine a partir de mediados de la década de 1930.
Head-on Shot,Toma en la que la acción se dirige directamente hacia la cámara.
Helicopter Shot,"Toma aérea realizada desde un helicóptero, a menudo utilizada como toma de establecimiento."
Helm,Término que se refiere al director de una película.
Hero/heroine,Protagonista masculino o femenino de una película.
Hi Hat,Placa de contrachapado utilizada para filmar con la cámara muy cerca del suelo.
High-angle Shot,Toma en la que la cámara apunta hacia abajo sobre la acción.
High-concept',Concepto principal de una película expresado de manera simple y fácilmente entendible.
High-definition,Imagen televisiva de alta resolución.
Highlighting,Uso de haces de luz delgados para iluminar partes seleccionadas del sujeto.
Hike,Término informal para aumentar o promover algo.
Hitting A Mark,Término utilizado por los actores para moverse a la posición correcta durante una toma.
Hmi,Tipo de luz de alta eficiencia y brillantez.
Hold Over,Término utilizado por un director para un actor que es requerido por un día adicional.
Homage,"Tributo respetuoso a alguien o algo, a menudo dentro de una película cuando se hace referencia a una escena o imagen de otra película."
Hoofer,Término coloquial que denota a un bailarín.
Horror (films),"Género popular de películas diseñado para asustar y emocionar con elementos familiares como monstruos, asesinos, vampiros, zombis, alienígenas, científicos locos, etc."
Horse Opera,"Término general para una película del oeste, no necesariamente para una película de vaqueros cantantes."
Hybrid (film),"Película o producción que combina dos o más tipos distintos de géneros, y no puede ser categorizada por un solo tipo de género."
Hype,"Abreviatura de hipérbole, se refiere al bombo promocional excesivo y la publicidad para una película o proyecto."
I.s.o.,"Equivalente de a.S.A. E i.E., Utilizado para denotar la sensibilidad a la luz de un tipo particular de película."
Image,Generalmente se refiere a la imagen resultante del proceso fotográfico.
Imagen,"Trabajo en progreso, distinguiéndolo de las pistas de sonido."
Imax,"Formato de película especializado, aproximadamente diez veces más grande que el formato de cine tradicional (35 mm)."
Impresión Húmeda,Método de impresión de contacto utilizado para rellenar temporalmente arañazos en la base de la película.
Impresión Óptica,Método de copiar fotograma por fotograma utilizando una película de grano muy fino.
In The Can,Término para una película completa o un conjunto de tomas que han terminado de filmarse.
In-camera Editing,Edición realizada durante la filmación en el orden requerido para el producto final.
Inclinación,Movimiento vertical de la cámara hacia arriba o hacia abajo.
Inclinación Holandesa,Composición con la cámara viendo la escena en diagonal.
Independents (indie And Independent Films),Pequeñas empresas independientes de bajo presupuesto que trabajan fuera del sistema de los grandes estudios de hollywood.
Índice De Exposición,Sensibilidad a la luz de un tipo particular de película.
"Industry, The",Otro nombre para la industria del cine o del entretenimiento.
Infinito,Distancia más lejana en el anillo de enfoque de una lente.
Informe De Cronometraje,Lista de luces de cronometraje y metrajes correspondientes utilizados por el laboratorio para hacer una copia.
Ingenue,Actriz joven adolescente a menudo en un papel importante o protagónico en una película.
Ink,Término informal que significa 'firmar' un contrato.
Insert Shot,"Toma que ocurre en medio de una escena más grande, generalmente un primer plano de algún detalle u objeto."
Inside Joke,"Broma relacionada con el mundo del espectáculo, que solo es entendida por aquellos que conocen la referencia."
Intercut Shots,Serie de tomas que alternan entre dos eventos simultáneos para crear suspense.
Interlude,Escena o secuencia breve e intermedia dentro de una película.
Intermission,"Pausa en medio de una película, originalmente destinada como oportunidad para estirarse o ir al baño."
Internegativo,Copia intermedia de una película utilizada para hacer más copias.
Interpositivo,"Copia intermedia de una película, generalmente requerida como paso intermedio para hacer un internegativo."
Intervalómetro,"Dispositivo que se adhiere a la cámara para tomar exposiciones únicas, similar a un motor de animación, pero capaz de exponer fotogramas automáticamente."
Into Frame,Se refiere a una persona u objeto que entra en el encuadre de la imagen sin que la cámara se mueva.
Iris (or Irising),"Técnica cinematográfica anterior, en forma de un círculo que se expande o se contrae (conocido como iris-out o iris-in), en la que una parte de la pantalla se oscurece para que solo se pueda ver una porción de la imagen."
it List,"Se refiere a la tendencia en el mundo del espectáculo de priorizar a individuos (estrellas, escritores, aspirantes a celebridades o recién llegados) como 'calientes' o 'dignos de ver' - destacando a aquellos que han 'surgido repentinamente' y son notables y rentables, aquellos que tuvieron algún éxito transitorio o 'roce con la grandeza', pero luego fueron degradados de la lista se llaman olvidados, pasados de moda, estrellas fugaces o destellos en la sartén (después de ""quince minutos de fama"" - una expresión de andy warhol), también conocido como ""a"" list."
J-cut,"Edición digital de cine, también conocida como corte dividido o edición retardada, en la que el audio y el video no comienzan al mismo tiempo."
Jukebox Musical,Musical filmado que utiliza canciones populares preexistentes como su banda sonora.
Jump Cut,Dispositivo de transición abrupto y desorientador en medio de una toma continua en la que la acción avanza notablemente en el tiempo o se corta entre dos escenas similares.
Juvenile,Papel de un joven adolescente masculino en una película.
Juxtaposition,"Posicionamiento contiguo de dos imágenes, personajes, objetos o escenas en secuencia para compararlos o contrastarlos."
K,Abreviatura de kilovatios (para luces de cine) o kelvin (para temperatura de color).
Kelvin,Escala de temperatura de color.
Key Light,"Principal luz sobre un sujeto, a menudo angulada y descentrada, que ilumina selectivamente varias características prominentes de la imagen."
Kick-off,Término que denota el inicio de la producción o la fotografía principal.
Kit De Empalme,Dispositivo para desviar el cableado eléctrico de un lugar al tomar energía directamente de la red.
Klieglight,"Tipo de lámpara de arco de carbono que produce una luz intensa, a menudo utilizada en la realización de películas."
Kudocast,Otro término para un espectáculo de premios.
L-cut,Edición digital de cine en la que el audio comienza antes (o después) del corte de la imagen.
L.F.O.A.,"Último fotograma de acción, el último fotograma de imagen y sonido en un rollo."
La Llamada,"Instrucciones dadas al comienzo de una toma, como ""¡acción!"" O ""¡corte!"""
La Pizarra,Tablero utilizado para registrar el número de escena y el punto de sincronización al comienzo de una toma.
